"Immigrant population by age groups at time of immigration, Canada, 2016 and 2021"
"Canada"
,2016 - All immigrants - Number,2016 - All immigrants - %,2016 - Recent immigrants (2011 to 2016) - Number,2016 - Recent immigrants (2011 to 2016) - %,2021 - All immigrants - Number,2021 - All immigrants - %,2021 - Recent immigrants (2016 to 2021) - Number,2021 - Recent immigrants (2016 to 2021) - %
"Population in private households","7540825","100","1212075","100","8361505","100","1328240","100"
"Less than 15 years","2043155","27.1","258220","21.3","2186705","26.2","271950","20.5"
"15 to 24 years","1604430","21.3","160720","13.3","1594290","19.1","155890","11.7"
"25 to 64 years","3797710","50.4","749855","61.9","4467520","53.4","858225","64.6"
"65 years and older","95530","1.3","43275","3.6","112990","1.4","42175","3.2"

Symbols:
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.

"Source: Statistics Canada, 2021 Census of Population."

"How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census."
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022."
"http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E"

